Time (s),Bz (µT),Voltage (mV)
0.009999999776482582,-312.92523193359375,-0.007064413744956255
0.019999999552965164,-313.9886779785156,-0.007151380646973848
0.029999999329447746,-313.3027038574219,-0.006973579991608858
0.03999999910593033,-309.3699035644531,-0.004877658560872078
0.05000000074505806,-302.01690673828125,-0.002085211919620633
0.05999999865889549,-291.04742431640625,0.0006994999130256474
0.07000000029802322,-281.252197265625,0.001221695332787931
0.07999999821186066,-275.032470703125,0.0013938433257862926
0.09000000357627869,-272.220947265625,0.0010465724626556039
0.10000000149011612,-269.53009033203125,0.0010455807205289602
0.10999999940395355,-267.29718017578125,0.0008732345886528492
0.11999999731779099,-264.7364196777344,0.0010477624600753188
0.12999999523162842,-262.0014343261719,0.0012210012646391988
0.14000000059604645,-259.114990234375,0.0012223896337673068
0.15000000596046448,-255.8608856201172,0.0013924550730735064
0.1599999964237213,-253.33045959472656,0.001041812589392066
0.17000000178813934,-250.60494995117188,0.0005148573545739055
0.18000000715255737,-247.88912963867188,-0.00035778223536908627
0.1899999976158142,-245.11929321289062,-0.001226653577759862
0.20000000298023224,-241.67747497558594,-0.0017502373084425926
0.20999999344348907,-237.81881713867188,-0.002271738601848483
0.2199999988079071,-233.56739807128906,-0.0026229762006551027
0.23000000417232513,-229.1416778564453,-0.0031488407403230667
0.23999999463558197,-224.67449951171875,-0.0038445722311735153
0.25,-220.1062469482422,-0.004370634909719229
0.25999999046325684,-215.0677032470703,-0.0050687468610703945
0.27000001072883606,-209.44044494628906,-0.005772213917225599
0.2800000011920929,-203.20550537109375,-0.006822156719863415
0.28999999165534973,-196.396728515625,-0.008040976710617542
0.30000001192092896,-189.0750274658203,-0.009085169062018394
0.3100000023841858,-181.5211944580078,-0.009954734705388546
0.3199999928474426,-173.7803955078125,-0.010649672709405422
0.33000001311302185,-165.8789825439453,-0.011183074675500393
0.3400000035762787,-157.82154846191406,-0.012223498895764351
0.3499999940395355,-149.52987670898438,-0.012928551994264126
0.36000001430511475,-140.60821533203125,-0.013965009711682796
0.3700000047683716,-131.08949279785156,-0.014488592743873596
0.3799999952316284,-121.03990936279297,-0.015004640445113182
0.38999998569488525,-110.59613800048828,-0.015171433798968792
0.4000000059604645,-100.02033996582031,-0.014985006302595139
0.4099999964237213,-89.19023132324219,-0.01427469588816166
0.41999998688697815,-78.27181243896484,-0.013044671155512333
0.4300000071525574,-67.4074935913086,-0.01146965753287077
0.4399999976158142,-56.823909759521484,-0.009706925600767136
0.44999998807907104,-47.124210357666016,-0.007250146474689245
0.46000000834465027,-38.03781509399414,-0.004269488621503115
0.4699999988079071,-29.864809036254883,-0.0007929120329208672
0.47999998927116394,-22.85407829284668,0.0021597829181700945
0.49000000953674316,-17.21269416809082,0.0045983148738741875
0.5,-13.364107131958008,0.006857260596007109
0.5099999904632568,-10.8079252243042,0.008772010914981365
0.5199999809265137,-9.389400482177734,0.01049666479229927
0.5299999713897705,-9.011140823364258,0.01152280904352665
0.5400000214576721,-9.549036979675293,0.011877218261361122
0.550000011920929,-11.050926208496094,0.012384440749883652
0.5600000023841858,-12.742647171020508,0.012401100248098373
0.5699999928474426,-14.482762336730957,0.012907727621495724
0.5799999833106995,-16.23496437072754,0.012919231317937374
0.5899999737739563,-18.00063705444336,0.013268285430967808
0.6000000238418579,-19.87799835205078,0.013611392118036747
0.6100000143051147,-21.83557891845703,0.013773822225630283
0.6200000047683716,-24.126792907714844,0.013580849394202232
0.6299999952316284,-26.56450843811035,0.01287649106234312
0.6399999856948853,-28.90980339050293,0.012010198086500168
0.6499999761581421,-31.538108825683594,0.01131853275001049
0.6600000262260437,-33.639198303222656,0.010814581997692585
0.6700000166893005,-35.75238037109375,0.01083451323211193
0.6800000071525574,-37.7636833190918,0.011371583677828312
0.6899999976158142,-39.41680145263672,0.01224422361701727
0.699999988079071,-41.01255798339844,0.013089098036289215
0.7099999785423279,-42.582332611083984,0.013263625092804432
0.7200000286102295,-44.39970016479492,0.013423874042928219
0.7300000190734863,-46.4833984375,0.013242106884717941
0.7400000095367432,-48.767452239990234,0.012900389730930328
0.75,-51.458335876464844,0.012733298353850842
0.7599999904632568,-53.84199142456055,0.012748371809720993
0.7699999809265137,-56.245826721191406,0.013097426854074001
0.7799999713897705,-58.6395378112793,0.013431013561785221
0.7900000214576721,-60.89440155029297,0.013454514555633068
0.800000011920929,-63.67915344238281,0.013954299502074718
0.8100000023841858,-66.43868255615234,0.013954299502074718
0.8199999928474426,-69.22676086425781,0.013929905369877815
0.8299999833106995,-72.07096862792969,0.013389859348535538
0.8399999737739563,-74.98381805419922,0.012542210519313812
0.8500000238418579,-77.95630645751953,0.012176296673715115
0.8600000143051147,-80.77973175048828,0.011495240963995457
0.8700000047683716,-83.02281951904297,0.011146184988319874
0.8799999952316284,-84.7342300415039,0.010797129012644291
0.8899999856948853,-86.257568359375,0.010456900112330914
0.8999999761581421,-87.5091552734375,0.010264522396028042
0.9100000262260437,-88.90751647949219,0.009749962948262691
0.9200000166893005,-90.01586151123047,0.009400906972587109
0.9300000071525574,-90.8380126953125,0.009033406153321266
0.9399999976158142,-91.68069458007812,0.008363258093595505
0.949999988079071,-92.43163299560547,0.008188731037080288
0.9599999785423279,-92.9657974243164,0.00804276205599308
0.9700000286102295,-93.17643737792969,0.008401435799896717
0.9800000190734863,-93.12039947509766,0.008934738114476204
0.9900000095367432,-93.00460815429688,0.009662301279604435
1,-93.75554656982422,0.010834414511919022
1.0099999904632568,-94.71985626220703,0.011193486861884594
1.0199999809265137,-95.8945083618164,0.01170695573091507
1.0299999713897705,-97.17716979980469,0.012056010775268078
1.0399999618530273,-98.36617279052734,0.01240506675094366
1.0499999523162842,-100.18006134033203,0.012733298353850842
1.059999942779541,-101.94818878173828,0.012764832004904747
1.0700000524520874,-104.00859832763672,0.013277804479002953
1.0800000429153442,-106.41655731201172,0.013626860454678535
1.090000033378601,-108.91970825195312,0.013965108431875706
1.100000023841858,-112.28709411621094,0.014106912538409233
1.1100000143051147,-115.73519134521484,0.01374684926122427
1.1200000047683716,-119.10308837890625,0.013201053254306316
1.1299999952316284,-122.2291259765625,0.012317207641899586
1.1399999856948853,-124.92000579833984,0.011270040646195412
1.149999976158142,-127.03164672851562,0.010211469605565071
1.159999966621399,-129.10545349121094,0.009012780152261257
1.1699999570846558,-130.7895965576172,0.00812853779643774
1.1799999475479126,-131.89300537109375,0.007081369869410992
1.190000057220459,-132.4562225341797,0.006034202873706818
1.2000000476837158,-132.3570556640625,0.004975136369466782
1.2100000381469727,-132.1431427001953,0.0037534411530941725
1.2200000286102295,-131.47889709472656,0.002495451830327511
1.2300000190734863,-130.04788208007812,0.0007379753515124321
1.2400000095367432,-127.54474639892578,-0.001169535331428051
1.25,-124.2092056274414,-0.0029272097162902355
1.2599999904632568,-120.3719253540039,-0.004859511740505695
1.2699999809265137,-115.79373168945312,-0.006979033816605806
1.2799999713897705,-110.23827362060547,-0.009435118176043034
1.2899999618530273,-103.41719818115234,-0.01205303706228733
1.2999999523162842,-95.42215728759766,-0.01470962818711996
1.309999942779541,-86.19218444824219,-0.01786411926150322
1.3200000524520874,-75.83525085449219,-0.021245600655674934
1.3300000429153442,-64.3379898071289,-0.025500213727355003
1.340000033378601,-51.19647216796875,-0.030601389706134796
1.350000023841858,-35.998077392578125,-0.036239832639694214
1.3600000143051147,-18.992887496948242,-0.04254980385303497
1.3700000047683716,0.3739002048969269,-0.04923621192574501
1.3799999952316284,22.42804718017578,-0.056634802371263504
1.3899999856948853,47.11534118652344,-0.0649065300822258
1.399999976158142,75.91971588134766,-0.0740930512547493
1.409999966621399,107.55216979980469,-0.08469056338071823
1.4199999570846558,142.41455078125,-0.09681747108697891
1.4299999475479126,180.96253967285156,-0.10993542522192001
1.440000057220459,223.95407104492188,-0.12331695854663849
1.4500000476837158,272.5033264160156,-0.1360287368297577
1.4600000381469727,325.4945983886719,-0.14831887185573578
1.4700000286102295,382.7794189453125,-0.1594303548336029
1.4800000190734863,444.1630859375,-0.16976992785930634
1.4900000095367432,509.8393859863281,-0.17855265736579895
1.5,578.8278198242188,-0.18586398661136627
1.5099999904632568,649.92041015625,-0.1907554417848587
1.5199999809265137,722.1837158203125,-0.19146466255187988
1.5299999713897705,794.7872314453125,-0.18649446964263916
1.5399999618530273,867.472412109375,-0.17878469824790955
1.5499999523162842,937.7691040039062,-0.17075639963150024
1.559999942779541,1005.7393798828125,-0.1624651551246643
1.5700000524520874,1070.5936279296875,-0.15128308534622192
1.5800000429153442,1131.6915283203125,-0.138083815574646
1.590000033378601,1188.9822998046875,-0.123457171022892
1.600000023841858,1240.425048828125,-0.10525867342948914
1.6100000143051147,1287.106689453125,-0.08258272707462311
1.6200000047683716,1328.27001953125,-0.05446331202983856
1.6299999952316284,1362.8798828125,-0.022456781938672066
1.6399999856948853,1388.568359375,0.011713797226548195
1.649999976158142,1402.911376953125,0.04340152069926262
1.659999966621399,1406.8519287109375,0.070680633187294
1.6699999570846558,1400.9049072265625,0.09493237733840942
1.6799999475479126,1385.9459228515625,0.11717991530895233
1.690000057220459,1361.3212890625,0.13663342595100403
1.7000000476837158,1328.906982421875,0.15342777967453003
1.7100000381469727,1289.8321533203125,0.169045552611351
1.7200000286102295,1244.66943359375,0.18516121804714203
1.7300000190734863,1194.0760498046875,0.19799944758415222
1.7400000095367432,1137.1920166015625,0.20462217926979065
1.75,1074.6796875,0.2043628692626953
1.7599999904632568,1008.4830932617188,0.20006947219371796
1.7699999809265137,939.994384765625,0.19481606781482697
1.7799999713897705,870.6492309570312,0.18933512270450592
1.7899999618530273,802.03173828125,0.18312014639377594
1.7999999523162842,734.0786743164062,0.17578598856925964
1.809999942779541,666.9097290039062,0.16686712205410004
1.8200000524520874,600.9225463867188,0.15773753821849823
1.8300000429153442,536.6543579101562,0.14812035858631134
1.840000033378601,475.452392578125,0.1383650302886963
1.850000023841858,416.8690185546875,0.1286926120519638
1.8600000143051147,361.19970703125,0.11843235045671463
1.8700000047683716,308.27911376953125,0.1085028201341629
1.8799999952316284,257.6978759765625,0.0988411083817482
1.8899999856948853,211.984130859375,0.09020841866731644
1.899999976158142,169.32073974609375,0.08241118490695953
1.909999966621399,130.15679931640625,0.07515677064657211
1.9199999570846558,94.09585571289062,0.06858182698488235
1.9299999475479126,60.15068435668945,0.0625307708978653
1.940000057220459,29.92517852783203,0.057042066007852554
1.9500000476837158,2.2638163566589355,0.05234915018081665
1.9600000381469727,-22.860946655273438,0.04788916930556297
1.9700000286102295,-45.6723518371582,0.044069088995456696
1.9800000190734863,-66.6199951171875,0.040462903678417206
1.9900000095367432,-85.39360046386719,0.03738060221076012
2,-102.31603240966797,0.03476268798112869
2.009999990463257,-117.6484146118164,0.03218463063240051
2.0199999809265137,-131.64089965820312,0.029915768653154373
2.0299999713897705,-144.58453369140625,0.027667036280035973
2.0399999618530273,-156.44320678710938,0.025633390992879868
2.049999952316284,-167.0477752685547,0.024042310193181038
2.059999942779541,-176.46084594726562,0.022337887436151505
2.069999933242798,-184.7522735595703,0.020921137183904648
2.0799999237060547,-192.01141357421875,0.019350385293364525
2.0899999141693115,-198.58413696289062,0.017821084707975388
2.0999999046325684,-204.47967529296875,0.016557740047574043
2.109999895095825,-209.77426147460938,0.015028835274279118
2.119999885559082,-214.44833374023438,0.013786118477582932
2.130000114440918,-218.3594970703125,0.012389895506203175
2.140000104904175,-220.82208251953125,0.011014892719686031
2.1500000953674316,-222.98780822753906,0.009771877899765968
2.1600000858306885,-224.5133819580078,0.008375653997063637
2.1700000762939453,-225.3672332763672,0.006957912351936102
2.180000066757202,-225.93043518066406,0.005365543533116579
2.190000057220459,-225.6412811279297,0.003641981165856123
2.200000047683716,-224.6075897216797,0.002027597976848483
2.2100000381469727,-223.1327667236328,0.0001077907727449201
2.2200000286102295,-221.1198272705078,-0.001812016242183745
2.2300000190734863,-217.80316162109375,-0.003731823293492198
2.240000009536743,-213.79502868652344,-0.005629417486488819
2.25,-208.5406951904297,-0.007397008128464222
2.259999990463257,-202.3992919921875,-0.009294404648244381
2.2699999809265137,-195.60159301757812,-0.011062193661928177
2.2799999713897705,-188.02955627441406,-0.013004610314965248
2.2899999618530273,-179.0920867919922,-0.015121652744710445
2.299999952316284,-169.23187255859375,-0.017413321882486343
2.309999942779541,-158.21084594726562,-0.01983380690217018
2.319999933242798,-145.99996948242188,-0.02210267074406147
2.3299999237060547,-132.95230102539062,-0.02439463883638382
2.3399999141693115,-118.49803924560547,-0.02688443660736084
2.3499999046325684,-103.17855072021484,-0.02974679321050644
2.359999895095825,-86.70783996582031,-0.0331096313893795
2.369999885559082,-68.90815734863281,-0.03679822012782097
2.380000114440918,-49.821659088134766,-0.040685031563043594
2.390000104904175,-28.681455612182617,-0.04485000669956207
2.4000000953674316,-6.091909885406494,-0.04900693893432617
2.4100000858306885,18.119707107543945,-0.05411604791879654
2.4200000762939453,44.11796188354492,-0.059646401554346085
2.430000066757202,72.15321350097656,-0.06592940539121628
2.440000057220459,102.32943725585938,-0.07218821346759796
2.450000047683716,134.50611877441406,-0.07829669117927551
2.4600000381469727,168.6780548095703,-0.08438077569007874
2.4700000286102295,204.9714813232422,-0.09033921360969543
2.4800000190734863,244.36476135253906,-0.09649688005447388
2.490000009536743,286.2930908203125,-0.10305318236351013
2.5,329.81866455078125,-0.11028319597244263
2.509999990463257,374.91278076171875,-0.11778818815946579
2.5199999809265137,421.6769714355469,-0.12402082234621048
2.5299999713897705,470.644775390625,-0.12885743379592896
2.5399999618530273,521.8634033203125,-0.13369740545749664
2.549999952316284,574.33935546875,-0.14063291251659393
2.559999942779541,628.0322875976562,-0.14938469231128693
2.569999933242798,683.0873413085938,-0.15792880952358246
2.5799999237060547,740.1590576171875,-0.16402816772460938
2.5899999141693115,799.0398559570312,-0.1676056981086731
2.5999999046325684,858.9368286132812,-0.16831769049167633
2.609999895095825,919.4444580078125,-0.16675953567028046
2.619999885559082,980.0767211914062,-0.1628013253211975
2.630000114440918,1039.7142333984375,-0.1554911732673645
2.640000104904175,1097.2703857421875,-0.14306479692459106
2.6500000953674316,1152.1094970703125,-0.12183584272861481
2.6600000858306885,1203.265869140625,-0.08958904445171356
2.6700000762939453,1249.4425048828125,-0.04806111752986908
2.680000066757202,1286.20751953125,-0.002444679383188486
2.690000057220459,1310.7664794921875,0.044770076870918274
2.700000047683716,1322.8226318359375,0.09357046335935593
2.7100000381469727,1321.335693359375,0.14226315915584564
2.7200000286102295,1305.6005859375,0.1857142448425293
2.7300000190734863,1272.433837890625,0.21978697180747986
2.740000009536743,1222.453369140625,0.24274948239326477
2.75,1160.359619140625,0.25420287251472473
2.759999990463257,1088.1097412109375,0.25539758801460266
2.7699999809265137,1007.7172241210938,0.24817094206809998
2.7799999713897705,922.9232177734375,0.23635797202587128
2.7899999618530273,837.326416015625,0.22204670310020447
2.799999952316284,752.5509033203125,0.2075410634279251
2.809999942779541,669.6040649414062,0.19189660251140594
2.819999933242798,589.343994140625,0.17566551268100739
2.8299999237060547,514.1557006835938,0.15951859951019287
2.8399999141693115,443.9935302734375,0.14398007094860077
2.8499999046325684,378.5588073730469,0.12946103513240814
2.859999895095825,317.7468566894531,0.11590021848678589
2.869999885559082,261.3751525878906,0.1036510318517685
2.880000114440918,210.96803283691406,0.09236066788434982
2.890000104904175,165.48719787597656,0.08249596506357193
2.9000000953674316,124.27738952636719,0.07420291751623154
2.9100000858306885,86.97673797607422,0.0673660859465599
2.9200000762939453,53.18178939819336,0.06140239164233208
2.930000066757202,23.394336700439453,0.05619560554623604
2.940000057220459,-3.4225258827209473,0.05125091224908829
2.950000047683716,-27.90618133544922,0.04688771814107895
2.9600000381469727,-50.16822814941406,0.042583223432302475
2.9700000286102295,-70.13419342041016,0.0386279821395874
2.9800000190734863,-88.31330108642578,0.03502199798822403
2.990000009536743,-104.54234313964844,0.03182457014918327
3,-119.08265686035156,0.02923639863729477
3.009999990463257,-132.07861328125,0.026882551610469818
3.0199999809265137,-143.6494903564453,0.025022640824317932
3.0299999713897705,-153.3804931640625,0.02345188893377781
3.0399999618530273,-162.1756134033203,0.021941430866718292
3.049999952316284,-170.18783569335938,0.020719734951853752
3.059999942779541,-177.47552490234375,0.019528385251760483
3.069999933242798,-184.04063415527344,0.018481217324733734
3.0799999237060547,-189.89173889160156,0.017434049397706985
3.0899999141693115,-195.1996612548828,0.016448164358735085
3.0999999046325684,-199.90719604492188,0.015688572078943253
3.109999895095825,-204.0148162841797,0.014703083783388138
3.119999885559082,-207.58180236816406,0.014004971832036972
3.130000114440918,-210.46336364746094,0.013337898068130016
3.140000104904175,-213.365234375,0.012814315967261791
3.1500000953674316,-216.1372528076172,0.012290731072425842
