Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
0.004999999888241291,0.10634373873472214,-7.750194072723389,0.1493140608072281,-1.6173962354660034
0.009999999776482582,0.11087201535701752,-7.775021553039551,0.15961098670959473,-1.618135690689087
0.014999999664723873,0.10718735307455063,-7.811311721801758,0.14988481998443604,-1.619541049003601
0.019999999552965164,0.09486178308725357,-7.842566967010498,0.12866975367069244,-1.6251603364944458
0.02500000037252903,0.08832772821187973,-7.883461952209473,0.12781411409378052,-1.6298409700393677
0.029999999329447746,0.09696787595748901,-7.924976348876953,0.12333904951810837,-1.6317150592803955
0.03500000014901161,0.1058962419629097,-7.96211051940918,0.12109541893005371,-1.6378076076507568
0.03999999910593033,0.09904137253761292,-7.998805999755859,0.12514173984527588,-1.6495119333267212
0.04500000178813934,0.08302615582942963,-8.049744606018066,0.12541720271110535,-1.6588767766952515
0.05000000074505806,0.07287712395191193,-8.1102933883667,0.12277346849441528,-1.6682416200637817
0.054999999701976776,0.07683166116476059,-8.167848587036133,0.11637534946203232,-1.677135944366455
0.05999999865889549,0.07938402146100998,-8.23642349243164,0.103767991065979,-1.6827527284622192
0.06499999761581421,0.07280246913433075,-8.32308578491211,0.09721250087022781,-1.6893107891082764
0.07000000029802322,0.07166565209627151,-8.396736145019531,0.10721899569034576,-1.699151873588562
0.07500000298023224,0.07349493354558945,-8.458253860473633,0.11610526591539383,-1.7113233804702759
0.07999999821186066,0.06844527274370193,-8.526033401489258,0.12445838004350662,-1.7230291366577148
0.08500000089406967,0.06900187581777573,-8.593307495117188,0.12916049361228943,-1.7337990999221802
0.09000000357627869,0.07325843721628189,-8.65900707244873,0.12593577802181244,-1.7450369596481323
0.0949999988079071,0.07920949161052704,-8.738311767578125,0.12545965611934662,-1.7553342580795288
0.10000000149011612,0.08442377299070358,-8.815552711486816,0.12959696352481842,-1.7670481204986572
0.10499999672174454,0.09191982448101044,-8.877378463745117,0.14140406250953674,-1.7806354761123657
0.10999999940395355,0.0984155535697937,-8.946009635925293,0.14274536073207855,-1.7960788011550903
0.11500000208616257,0.1060861274600029,-9.033576011657715,0.1399296671152115,-1.808716893196106
0.11999999731779099,0.10765554755926132,-9.117546081542969,0.1470952033996582,-1.819954752922058
0.125,0.1074540987610817,-9.196123123168945,0.16112980246543884,-1.831197738647461
0.12999999523162842,0.10309808701276779,-9.274079322814941,0.16789187490940094,-1.8447766304016113
0.13500000536441803,0.09974344074726105,-9.347994804382324,0.18059581518173218,-1.8583555221557617
0.14000000059604645,0.10356669127941132,-9.446250915527344,0.19491532444953918,-1.8714663982391357
0.14499999582767487,0.11861089617013931,-9.554818153381348,0.2023693025112152,-1.8850512504577637
0.15000000596046448,0.13672788441181183,-9.645363807678223,0.21646921336650848,-1.900034785270691
0.1550000011920929,0.14161241054534912,-9.724000930786133,0.21963733434677124,-1.9140822887420654
0.1599999964237213,0.13934554159641266,-9.79800033569336,0.21823406219482422,-1.9285913705825806
0.16500000655651093,0.14034005999565125,-9.880647659301758,0.22466006875038147,-1.9431133270263672
0.17000000178813934,0.13852953910827637,-9.953168869018555,0.22998656332492828,-1.958104133605957
0.17499999701976776,0.13554713129997253,-10.031434059143066,0.22642242908477783,-1.9744782447814941
0.18000000715255737,0.13939426839351654,-10.124641418457031,0.22240908443927765,-1.9866455793380737
0.1850000023841858,0.14557434618473053,-10.216405868530273,0.218103289604187,-1.999302864074707
0.1899999976158142,0.14906057715415955,-10.296021461486816,0.2101956009864807,-2.014294385910034
0.19499999284744263,0.1500171273946762,-10.37421989440918,0.21023781597614288,-2.0301990509033203
0.20000000298023224,0.1544591188430786,-10.460240364074707,0.2082902193069458,-2.042841672897339
0.20499999821186066,0.1518344283103943,-10.551928520202637,0.20286217331886292,-2.0573649406433105
0.20999999344348907,0.13771504163742065,-10.636900901794434,0.1947120726108551,-2.074230194091797
0.2150000035762787,0.13173142075538635,-10.710477828979492,0.19299902021884918,-2.088719606399536
0.2199999988079071,0.14724434912204742,-10.784238815307617,0.19234254956245422,-2.0990302562713623
0.22499999403953552,0.16424933075904846,-10.851119041442871,0.19343306124210358,-2.111654281616211
0.23000000417232513,0.16367065906524658,-10.9231595993042,0.18266697227954865,-2.122910499572754
0.23499999940395355,0.16049335896968842,-10.99918270111084,0.1767255663871765,-2.13509464263916
0.23999999463558197,0.16124367713928223,-11.057538032531738,0.1614917516708374,-2.1495912075042725
0.24500000476837158,0.14451180398464203,-11.111612319946289,0.14594793319702148,-2.1598823070526123
0.25,0.1336071938276291,-11.173863410949707,0.14734481275081635,-2.170203924179077
0.2549999952316284,0.130512535572052,-11.245366096496582,0.1383722871541977,-2.183793067932129
0.25999999046325684,0.1236865445971489,-11.350876808166504,0.13890448212623596,-2.20161771774292
0.26499998569488525,0.11430973559617996,-11.454605102539062,0.15674640238285065,-2.221240758895874
0.27000001072883606,0.11150238662958145,-11.505887031555176,0.16320212185382843,-2.2291359901428223
0.2750000059604645,0.11164525151252747,-11.510130882263184,0.16102634370326996,-2.2296042442321777
0.2800000011920929,0.11082617193460464,-11.543577194213867,0.1537511646747589,-2.2352569103240967
0.2849999964237213,0.11921672523021698,-11.599080085754395,0.14960922300815582,-2.2423036098480225
0.28999999165534973,0.12354356795549393,-11.674508094787598,0.15192687511444092,-2.253997802734375
0.29499998688697815,0.11464224755764008,-11.738548278808594,0.14422860741615295,-2.2628824710845947
0.30000001192092896,0.10953541100025177,-11.786881446838379,0.13137412071228027,-2.268489360809326
