Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.009999999776482582,0.14179480075836182,-8.643324851989746,-4.782891750335693,-1.8188018798828125,0,0,0
0.019999999552965164,0.13750602304935455,-8.641661643981934,-4.786596298217773,-1.8210794925689697,0,0,0
0.029999999329447746,0.1365021914243698,-8.638326644897461,-4.782186031341553,-1.821798324584961,0,0,0
0.03999999910593033,0.1345306634902954,-8.6328706741333,-4.781027793884277,-1.824607491493225,0,0,0
0.05000000074505806,0.1335475593805313,-8.627821922302246,-4.781197547912598,-1.8283531665802002,0,0,0
0.05999999865889549,0.1347004622220993,-8.622873306274414,-4.7824296951293945,-1.8292895555496216,0,0,0
0.07000000029802322,0.13682526350021362,-8.61976432800293,-4.784221172332764,-1.8283531665802002,0,0,0
0.07999999821186066,0.13827772438526154,-8.626331329345703,-4.789487361907959,-1.8264802694320679,0,0,0
0.09000000357627869,0.14086104929447174,-8.632609367370605,-4.784361362457275,-1.824607491493225,0,0,0
0.10000000149011612,0.14018866419792175,-8.641996383666992,-4.778956890106201,-1.8236711025238037,0,0,0
0.10999999940395355,0.14073088765144348,-8.64822006225586,-4.771651268005371,-1.8236712217330933,0,0,0
0.11999999731779099,0.14030121266841888,-8.652105331420898,-4.765157222747803,-1.8227347135543823,0,0,0
0.12999999523162842,0.13966363668441772,-8.657217025756836,-4.7634992599487305,-1.8208619356155396,0,0,0
0.14000000059604645,0.13993562757968903,-8.657441139221191,-4.763791084289551,-1.820862054824829,0,0,0
0.15000000596046448,0.14140325784683228,-8.654918670654297,-4.764189720153809,-1.818052887916565,0,0,0
0.1599999964237213,0.14066438376903534,-8.652069091796875,-4.770470142364502,-1.8189892768859863,0,0,0
0.17000000178813934,0.13842548429965973,-8.64387321472168,-4.774848937988281,-1.8199257850646973,0,0,0
0.18000000715255737,0.1398887187242508,-8.639037132263184,-4.778554916381836,-1.821798324584961,0,0,0
0.1899999976158142,0.14043380320072174,-8.635335922241211,-4.786302089691162,-1.8227348327636719,0,0,0
0.20000000298023224,0.142710343003273,-8.633042335510254,-4.788586139678955,-1.824607491493225,0,0,0
0.20999999344348907,0.14449794590473175,-8.634779930114746,-4.789599418640137,-1.8246076107025146,0,0,0
0.2199999988079071,0.14520755410194397,-8.632975578308105,-4.788548946380615,-1.8274167776107788,0,0,0
0.23000000417232513,0.14567245543003082,-8.630785942077637,-4.788673400878906,-1.8283531665802002,0,0,0
0.23999999463558197,0.14295655488967896,-8.631811141967773,-4.786055088043213,-1.8274167776107788,0,0,0
0.25,0.14256057143211365,-8.632556915283203,-4.778082847595215,-1.8283530473709106,0,0,0
0.25999999046325684,0.1443898230791092,-8.634056091308594,-4.7755022048950195,-1.8274167776107788,0,0,0
0.27000001072883606,0.14395771920681,-8.637248992919922,-4.772491931915283,-1.824607491493225,0,0,0
0.2800000011920929,0.14240552484989166,-8.640193939208984,-4.769861221313477,-1.821798324584961,0,0,0
0.28999999165534973,0.13822397589683533,-8.643619537353516,-4.7709641456604,-1.821798324584961,0,0,0
0.30000001192092896,0.1349022090435028,-8.646299362182617,-4.774974822998047,-1.8227347135543823,0,0,0
0.3100000023841858,0.12915171682834625,-8.646676063537598,-4.776843547821045,-1.8236712217330933,0,0,0
0.3199999928474426,0.12941774725914001,-8.645040512084961,-4.778993129730225,-1.824607491493225,0,0,0
0.33000001311302185,0.13019782304763794,-8.64041805267334,-4.783467769622803,-1.824607491493225,0,0,0
0.3400000035762787,0.13344426453113556,-8.635568618774414,-4.784449100494385,-1.8208619356155396,0,0,0
0.3499999940395355,0.13459080457687378,-8.635437965393066,-4.780646800994873,-1.8189892768859863,0,0,0
0.36000001430511475,0.13613241910934448,-8.632390975952148,-4.779320240020752,-1.818052887916565,0,0,0
0.3700000047683716,0.13443708419799805,-8.630478858947754,-4.778695583343506,-1.8189891576766968,0,0,0
0.3799999952316284,0.13871906697750092,-8.632455825805664,-4.780080318450928,-1.820862054824829,0,0,0
0.38999998569488525,0.14267796277999878,-8.62833309173584,-4.786404609680176,-1.8227348327636719,0,0,0
0.4000000059604645,0.14261144399642944,-8.628166198730469,-4.79476261138916,-1.824607491493225,0,0,0
0.4099999964237213,0.14565637707710266,-8.630952835083008,-4.796485424041748,-1.824607491493225,0,0,0
0.41999998688697815,0.14101828634738922,-8.634016036987305,-4.787937164306641,-1.8236711025238037,0,0,0
0.4300000071525574,0.1351592242717743,-8.641536712646484,-4.7808003425598145,-1.8236711025238037,0,0,0
0.4399999976158142,0.13290007412433624,-8.649253845214844,-4.7744221687316895,-1.8227348327636719,0,0,0
0.44999998807907104,0.13061141967773438,-8.652656555175781,-4.771539211273193,-1.820862054824829,0,0,0
0.46000000834465027,0.13470135629177094,-8.653543472290039,-4.772702217102051,-1.821798324584961,0,0,0
0.4699999988079071,0.13835039734840393,-8.650897026062012,-4.773606777191162,-1.8227348327636719,0,0,0
0.47999998927116394,0.14261099696159363,-8.651001930236816,-4.777434825897217,-1.820862054824829,0,0,0
0.49000000953674316,0.14484041929244995,-8.647579193115234,-4.777408599853516,-1.8236711025238037,0,0,0
0.5,0.1443805694580078,-8.643098831176758,-4.781848907470703,-1.824607491493225,0,0,0
0.5099999904632568,0.14598606526851654,-8.637784957885742,-4.790111541748047,-1.8255438804626465,0,0,0
0.5199999809265137,0.14529123902320862,-8.627472877502441,-4.79556941986084,-1.8283531665802002,0,0,0
0.5299999713897705,0.14437244832515717,-8.62115478515625,-4.7917866706848145,-1.8292895555496216,0,0,0
0.5400000214576721,0.14248612523078918,-8.620841979980469,-4.7908711433410645,-1.8311620950698853,0,0,0
0.550000011920929,0.14273345470428467,-8.622864723205566,-4.786346912384033,-1.8311620950698853,0,0,0
0.5600000023841858,0.13898201286792755,-8.627083778381348,-4.783772945404053,-1.8311620950698853,0,0,0
0.5699999928474426,0.13753969967365265,-8.630703926086426,-4.78417444229126,-1.8302258253097534,0,0,0
0.5799999833106995,0.14117157459259033,-8.635920524597168,-4.785861492156982,-1.8292893171310425,0,0,0
0.5899999737739563,0.14336618781089783,-8.641350746154785,-4.777388572692871,-1.829289436340332,0,0,0
0.6000000238418579,0.14321905374526978,-8.64756965637207,-4.771514892578125,-1.8274167776107788,0,0,0
0.6100000143051147,0.14690621197223663,-8.649957656860352,-4.767563819885254,-1.8274167776107788,0,0,0
0.6200000047683716,0.14584027230739594,-8.649676322937012,-4.765973091125488,-1.8292895555496216,0,0,0
0.6299999952316284,0.143455371260643,-8.64452838897705,-4.771035671234131,-1.8292895555496216,0,0,0
0.6399999856948853,0.1433727890253067,-8.64340877532959,-4.770612716674805,-1.8302258253097534,0,0,0
0.6499999761581421,0.1455799639225006,-8.637545585632324,-4.7751545906066895,-1.8311620950698853,0,0,0
0.6600000262260437,0.1426761895418167,-8.63574504852295,-4.777803897857666,-1.829289436340332,0,0,0
0.6700000166893005,0.1418020874261856,-8.63400650024414,-4.774684906005859,-1.8292893171310425,0,0,0
0.6800000071525574,0.14385730028152466,-8.633157730102539,-4.778501033782959,-1.8292895555496216,0,0,0
0.6899999976158142,0.13722412288188934,-8.62900447845459,-4.785848617553711,-1.8274167776107788,0,0,0
0.699999988079071,0.13225281238555908,-8.632094383239746,-4.784554958343506,-1.8283530473709106,0,0,0
0.7099999785423279,0.13381119072437286,-8.631318092346191,-4.789175033569336,-1.8283531665802002,0,0,0
0.7200000286102295,0.13305093348026276,-8.63606071472168,-4.796340465545654,-1.824607491493225,0,0,0
0.7300000190734863,0.1357758641242981,-8.640872955322266,-4.795586109161377,-1.8236711025238037,0,0,0
0.7400000095367432,0.1397719830274582,-8.641594886779785,-4.794630527496338,-1.821798324584961,0,0,0
0.75,0.13992944359779358,-8.642680168151855,-4.79144287109375,-1.821798324584961,0,0,0
0.7599999904632568,0.14177697896957397,-8.64367389678955,-4.781457901000977,-1.8227348327636719,0,0,0
0.7699999809265137,0.1439698487520218,-8.640377044677734,-4.774467468261719,-1.8255438804626465,0,0,0
0.7799999713897705,0.14429688453674316,-8.641948699951172,-4.771622180938721,-1.8264803886413574,0,0,0
0.7900000214576721,0.1451231986284256,-8.649685859680176,-4.771972179412842,-1.8274167776107788,0,0,0
0.800000011920929,0.14290016889572144,-8.652362823486328,-4.773705959320068,-1.8274167776107788,0,0,0
0.8100000023841858,0.14119622111320496,-8.653688430786133,-4.7776594161987305,-1.8264803886413574,0,0,0
0.8199999928474426,0.13567081093788147,-8.649643898010254,-4.7829108238220215,-1.8264803886413574,0,0,0
0.8299999833106995,0.13641785085201263,-8.641708374023438,-4.786365509033203,-1.824607491493225,0,0,0
0.8399999737739563,0.13801628351211548,-8.634808540344238,-4.790688991546631,-1.8236711025238037,0,0,0
