Time (s),Fᵧ (N),rᵧ (m)
0.009999999776482582,-0.73655766248703,0
0.019999999552965164,-0.7348921298980713,0
0.029999999329447746,-0.7341214418411255,0
0.03999999910593033,-0.7313119173049927,0
0.05000000074505806,-0.7303781509399414,0
0.05999999865889549,-0.7303780913352966,0
0.07000000029802322,-0.7303780913352966,0
0.07999999821186066,-0.7303780913352966,0
0.09000000357627869,-0.7303848266601562,0
0.10000000149011612,-0.7322508096694946,0
0.10999999940395355,-0.7322509288787842,0
0.11999999731779099,-0.7322598099708557,0
0.12999999523162842,-0.7341236472129822,0
0.14000000059604645,-0.7341236472129822,0
0.15000000596046448,-0.7350820302963257,0
0.1599999964237213,-0.7388290762901306,0
0.17000000178813934,-0.7425760626792908,0
0.18000000715255737,-0.7472724914550781,0
0.1899999976158142,-0.7528930902481079,0.000009083665645448491
0.20000000298023224,-0.7575775980949402,0.0002095617528539151
0.20999999344348907,-0.7631824612617493,0.0004200796829536557
0.2199999988079071,-0.7678819894790649,0.0008210358791984618
0.23000000417232513,-0.772566556930542,0.0012329882010817528
0.23999999463558197,-0.7791589498519897,0.0018229482229799032
0.25,-0.7885264158248901,0.0022358563728630543
0.25999999046325684,-0.7978940606117249,0.0028372907545417547
0.27000001072883606,-0.8082177042961121,0.0034516332671046257
0.2800000011920929,-0.818501889705658,0.00425354577600956
0.28999999165534973,-0.8278694748878479,0.005069322418421507
0.30000001192092896,-0.8381955623626709,0.006071713287383318
0.3100000023841858,-0.8494597673416138,0.007074103690683842
0.3199999928474426,-0.8635581135749817,0.008076493628323078
0.33000001311302185,-0.8804197311401367,0.00909466203302145
0.3400000035762787,-0.897281289100647,0.010297530330717564
0.3499999940395355,-0.9151051640510559,0.011500397697091103
0.36000001430511475,-0.9329041838645935,0.012720477767288685
0.3700000047683716,-0.9516116976737976,0.014141513966023922
0.3799999952316284,-0.9694377183914185,0.015727171674370766
0.38999998569488525,-0.9881728291511536,0.01714916341006756
0.4000000059604645,-1.006937861442566,0.018752988427877426
0.4099999964237213,-1.0275157690048218,0.020356813445687294
0.41999998688697815,-1.0462509393692017,0.021960638463497162
0.4300000071525574,-1.065954327583313,0.02356446161866188
0.4399999976158142,-1.0865957736968994,0.025168288499116898
0.44999998807907104,-1.1080745458602905,0.026793625205755234
0.46000000834465027,-1.1288193464279175,0.02859792858362198
0.4699999988079071,-1.1540422439575195,0.030402230098843575
0.47999998927116394,-1.1775321960449219,0.032229483127593994
0.49000000953674316,-1.2027885913848877,0.034234266728162766
0.5,-1.2271442413330078,0.03623904660344124
0.5099999904632568,-1.2525123357772827,0.03824382275342941
0.5199999809265137,-1.2805761098861694,0.040248606353998184
0.5299999713897705,-1.3068448305130005,0.042253389954566956
0.5400000214576721,-1.3349474668502808,0.04428398236632347
0.550000011920929,-1.3630090951919556,0.04648924246430397
0.5600000023841858,-1.3882603645324707,0.04869450256228447
0.5699999928474426,-1.4125734567642212,0.05089975893497467
0.5799999833106995,-1.4360783100128174,0.05310501903295517
0.5899999737739563,-1.4632877111434937,0.055282071232795715
0.6000000238418579,-1.4904543161392212,0.05731553956866264
0.6100000143051147,-1.519584059715271,0.059520795941352844
0.6200000047683716,-1.5513874292373657,0.06172605976462364
0.6299999952316284,-1.5813164710998535,0.06396143138408661
0.6399999856948853,-1.6094191074371338,0.06636717170476913
0.6499999761581421,-1.6375706195831299,0.06874183565378189
0.6600000262260437,-1.666561484336853,0.07097864151000977
0.6700000166893005,-1.6946640014648438,0.07338438183069229
0.6800000071525574,-1.723753571510315,0.07575761526823044
0.6899999976158142,-1.754665732383728,0.07799585163593292
0.699999988079071,-1.7826652526855469,0.08040159940719604
0.7099999785423279,-1.80998957157135,0.08280733972787857
0.7200000286102295,-1.8417856693267822,0.0852130651473999
0.7300000190734863,-1.871761679649353,0.08761880546808243
